"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"",860.55341355363,-0.227461812716681,0.190931017246942,-1.19132981113535,0.233524135243,0.787607032656735
"0610009B22Rik",246.757353377889,-0.0862752274187853,0.0964008507054968,-0.89496334096008,0.370806684900598,0.87080887724393
"0610010K14Rik",144.519471565488,-0.263812045776656,0.126924393833418,-2.07849758276488,0.0376635533073453,0.422480463359895
"0610012G03Rik",330.00043192585,0.182953174113505,0.106483644083191,1.7181340447982,0.0857721683233983,0.583917690447665
"0610030E20Rik",161.79961113922,0.0366886550092211,0.0888100131655742,0.413113946293647,0.679523132004363,0.960865500740942
"0610040J01Rik",512.56661697267,0.0889732405686978,0.0833355460809569,1.0676505375301,0.2856781778823,0.827196726620797
"1110002E22Rik",0.750167057603876,-0.0818251791802193,1.44205718880043,-0.0567419793165659,0.954750733206122,NA
"1110004F10Rik",528.503139173122,-0.0793200319766924,0.0620960995131063,-1.27737543257368,0.201469733922521,0.760389162825824
"1110017D15Rik",1.3662688954324,-1.36601911223368,1.07302579693491,-1.27305337498475,0.202999102306934,NA
"1110025L11Rik",0,NA,NA,NA,NA,NA
"1110032A03Rik",331.918635039431,-0.123063475767773,0.0814404764028704,-1.51108491997273,0.130766816285028,0.6723888323845
"1110032F04Rik",57.6796170543762,-0.589659921863247,0.280790432287629,-2.10000005007017,0.035728836721101,0.414609350040448
"1110038F14Rik",133.437242945229,-0.104820838764352,0.103449399246303,-1.01325710471052,0.310937370711431,0.842656140879646
"1110051M20Rik",154.950263322816,0.179513079421309,0.142044750469633,1.26377834328828,0.206309596429072,0.765092594758969
"1110057P08Rik",0,NA,NA,NA,NA,NA
"1110059E24Rik",138.62655226057,0.067572812550409,0.132993570017192,0.508090823802035,0.61138965019401,0.944824837240977
"1110059G10Rik",119.645490613749,-0.224510970501315,0.121193945552566,-1.8524932865061,0.0639550207128688,0.521607707445789
"1110065P20Rik",151.428126856354,-0.100289399064713,0.104375082366857,-0.960855759732157,0.336624697663857,0.857046177143092
"1190005I06Rik",4.93851196040075,0.540101202133132,0.508770681630575,1.06158082930829,0.288426020525634,NA
"1190007I07Rik",81.8222276234208,0.0699453691300468,0.137370050882164,0.509174806887461,0.610629700287465,0.944824837240977
"1300017J02Rik",0.386239403240148,1.7495374376019,2.30077531802906,0.760412120163313,0.447008280767447,NA
"1500009C09Rik",0,NA,NA,NA,NA,NA
"1500009L16Rik",10.1958175342078,-0.332204947245459,0.460984689453908,-0.720642040495957,0.471129780988543,0.903217383096439
"1500011B03Rik",80.6113186758159,-0.240865968786768,0.17989151248587,-1.33895126823,0.180586537851117,0.73635102955141
"1520401A03Rik",0,NA,NA,NA,NA,NA
"1600012H06Rik",317.3724853273,-0.0458408259678259,0.0706728775827263,-0.648633924862715,0.516575022241254,0.917925309891397
"1600014C10Rik",169.777206758525,0.24916096984382,0.17410832367984,1.43106868515942,0.152410531015102,0.701635867558433
"1600014C23Rik",0,NA,NA,NA,NA,NA
"1600029O15Rik",0.647747087684003,1.25585249843554,1.37522481636904,0.913197961153236,0.361138436063258,NA
"1700001C19Rik",0.49931990002778,1.57270702620273,1.60808040217851,0.978002731749075,0.328072972999906,NA
"1700001F09Rik",0.0769524350950323,-0.689127374341415,3.11653965008542,-0.221119398985515,0.824999465879279,NA
"1700001J03Rik",3.11976705073158,0.246671571054897,0.67966745156023,0.362929798225062,0.71665732646945,NA
"1700001J11Rik",0,NA,NA,NA,NA,NA
"1700001K19Rik",2.26254570614208,-0.256241399827002,0.791857325347907,-0.323595415012951,0.746244359645082,NA
"1700001L19Rik",2.33189365480871,0.242466492552759,0.843191479738157,0.287558043907244,0.773685064961101,NA
"1700001O22Rik",8.2113212350466,-0.0184227435714713,0.534718647270258,-0.0344531533835963,0.972515798333621,0.997523580556132
"1700001P01Rik",0.421825293755403,-1.44849414142459,1.92674832087895,-0.751781706893515,0.452182344690074,NA
"1700003E16Rik",68.4755629468793,0.0151750946239511,0.167786473492368,0.0904428963079755,0.927935270024677,0.992896919210153
"1700003F12Rik",0.153785644923396,-0.205110696296209,3.11653965008542,-0.0658136007640998,0.947526227869901,NA
"1700003H04Rik",0,NA,NA,NA,NA,NA
"1700003N22Rik",0.230709164905155,1.1592665621497,3.11051932777368,0.372692287039874,0.709377477606629,NA
"1700006A11Rik",0,NA,NA,NA,NA,NA
"1700007E05Rik",1.750537493178,-0.294480178257582,0.842875399826339,-0.349375694578646,0.726807277976259,NA
"1700007K13Rik",5.0248017279487,-0.428709448022841,0.525136012316648,-0.816377924895268,0.414284018282263,NA
"1700008O03Rik",2.91279814346254,0.035777065259846,0.743573698301994,0.0481150225479271,0.961624573810198,NA
"1700008P02Rik",0,NA,NA,NA,NA,NA
