"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"",1024.65968518171,0.423927160816363,0.096478764375416,4.39399450812603,1.11286628141068e-05,0.00884039776499663
"0610009B22Rik",275.166480619545,-0.0496059168923319,0.0939891694386926,-0.527783330660124,0.597649728100766,0.975692449038252
"0610010K14Rik",167.308650974166,-0.0928297037099652,0.12702362940579,-0.730806576258434,0.464897306147352,0.960403815887998
"0610012G03Rik",348.298381658512,0.0648358928926971,0.106806581213031,0.607040241868417,0.543824206363945,0.971581996744209
"0610030E20Rik",185.317953080413,0.0822712844929037,0.08862657618419,0.928291354975981,0.353256457235856,0.944180014477563
"0610040J01Rik",551.401800643179,0.0168031450222089,0.0885524992808686,0.189753481366044,0.849502309998122,0.990021921796247
"1110002E22Rik",0.777017446158094,-0.208303672693304,1.39045343754367,-0.149809887241738,0.880914608504626,NA
"1110004F10Rik",600.158942381142,0.00763847152252035,0.0617923651394793,0.123615134414722,0.901620008869569,0.994237505814526
"1110017D15Rik",1.64498829541838,-1.36776888533254,1.06235191793109,-1.28749133149423,0.197923089075845,0.904529244846393
"1110025L11Rik",0,NA,NA,NA,NA,NA
"1110032A03Rik",370.014875698136,-0.045924041528643,0.10326040252008,-0.444740097925849,0.656507588180205,0.981269046331636
"1110032F04Rik",79.5392287040717,0.11139021125642,0.269469831549553,0.413368022000402,0.679336999860873,0.983089535722185
"1110038F14Rik",157.780559980536,0.108207560212711,0.106295622641341,1.0179869831312,0.308684142143109,0.934907200296177
"1110051M20Rik",167.262861325143,-0.0175909808193315,0.154268669878855,-0.114028213461265,0.909215428198201,0.995477404811177
"1110057P08Rik",0,NA,NA,NA,NA,NA
"1110059E24Rik",153.058721613972,0.0208100721518339,0.11210600206511,0.185628528076023,0.852736080203656,0.990097116112228
"1110059G10Rik",137.193803982409,0.0227220834749519,0.11766306641485,0.193111433921327,0.846871698227562,0.990021921796247
"1110065P20Rik",168.865611085939,-0.062821798950319,0.115947527399227,-0.541812321137412,0.587947802591506,0.974290596431217
"1190005I06Rik",4.61304498776101,0.100354092362505,0.523173494175284,0.191817998197139,0.847884772231455,0.990021921796247
"1190007I07Rik",79.5354142242465,-0.222532354447816,0.142199767731555,-1.56492769290533,0.117599864517092,0.861304141878075
"1300017J02Rik",0.280091320746434,1.39859679506677,3.08418784443699,0.453473285548884,0.650207975590828,NA
"1500009C09Rik",0.0870900841764455,-0.0152549820419573,3.11653965008542,-0.00489484612895559,0.996094493441883,NA
"1500009L16Rik",10.9675798256707,-0.107807966698111,0.424862259586961,-0.253748042490098,0.799690215890173,0.98727507335246
"1500011B03Rik",91.6075271374721,-0.0955369272970853,0.159203434204087,-0.600093382248364,0.548444002718429,0.971581996744209
"1520401A03Rik",0.110629655724159,0.465636358523452,3.11653965008542,0.14940812914435,0.881231597599678,NA
"1600012H06Rik",358.071164325715,0.046564913548332,0.0752344410378521,0.618930810224325,0.535961940419234,0.971581996744209
"1600014C10Rik",177.249631002152,0.186273395753102,0.182785184433281,1.01908366550952,0.308163248215329,0.934810807128823
"1600014C23Rik",0.150175554283352,0.465636358523451,3.11653965008542,0.14940812914435,0.881231597599678,NA
